No.,authors,title,year,vol,no,fpage,doi,authors,article title,journal title,year,vol,no,fpage,doi
11,"Kyung Hwan Suk, Ju Hyeon Lee, Soo Hyeong Ryu, Su Yeon Lee, Hong Guk Kim, Dek Woo Ryoo, Bon Hyuk Goo, Min Jeong Kim, Yeon Cheol Park, Byung Kwan Seo, Yong Hyeon Baek",Effectiveness of East-West collaborative hospital treatment on the prognosis of Bell’s palsy: A retrospective study,2015,32,4,167,10.13045/acupunct.2015071,"Ji Eun Choi, Min Soo Kwon, Jung Hwan Kim, Dae Hyun Jo, Ji Sun Han, Hee Jin Jo, Ji Hye Kim, Hyun Ho Kim, Jung Won Kang, Dong Woo Nam",Facial Nerve Damage in Bell’s Palsy according to When Korean Medical Treatment was Started: A Retrospective Study,The Acupuncture,2016,33,2,51,10.13045/acupunct.2016016
12,"Jin Ho Lee, In Hyuk Ha, Me Riong Kim, Min Jeong Kim, Jae Woong Lee, In Hee Lee, Hwa Jin Chung, Eun Jee Kim",Multiple-dose Intramuscular Toxicity Study of Shinbaro Pharmacopuncture in Sprague-Dawley Rats over a 4-week period,2015,32,4,77,10.13045/acupunct.2015063,"Yoon Jae Lee, Joon-Shik Shin, Jinho Lee, Me-riong Kim, Ki Byung Park, Hwa Dong Lee, Yoonmi Lee, Jungwan Hong, In-Hyuk Ha",Usage report of pharmacopuncture in musculoskeletal patients visiting Korean medicine hospitals and clinics in Korea,BMC Complementary and Alternative Medicine,2016,16,1,,10.1186/s12906-016-1288-5
13,"Hyun Jung Yang, Hae In Park, Kwang Ho Lee",Safe Needling Depth of Pungbu(GV) with MRI-a Retrospective Study,2015,32,4,11,10.13045/acupunct.2015057,"Hyun Jung Yang, Ho Yun Sim, Kwang Ho Lee",A Retrospective Study on Needling Depth of Hwangmun (BL51) and Jisil (BL52) with MRI,The Acupuncture,2016,33,2,89,10.13045/acupunct.2016019
14,"Hye Su Kim, So Yun Kim, Hyun Ji Kim, Eun Seok Kim, Young Il Kim",The Effect of Acupotomy on Lumbar Herniated Intervertebral Disc: Report of a Case Series,2015,32,3,185,10.13045/acupunct.2015050,"Hae Sol Kim, Young Hyun Bae, Ho Sun Kim, Chang Yong Suh, No Hyeon Kim, Gi Bum Lee, Kyu Jin Yang",Effects of Conservative Korean Traditional Medical Treatment on Lumbar Intervertebral Disc Herniation in 12 Adolescents: A Retrospective Study,The Acupuncture,2016,33,1,103,10.13045/acupunct.2016010
15,"Hye Su Kim, So Yun Kim, Hyun Ji Kim, Eun Seok Kim, Young Il Kim",The Effect of Acupotomy on Lumbar Herniated Intervertebral Disc: Report of a Case Series,2015,32,3,185,10.13045/acupunct.2015050,"Ji Su Kim, Yoo Jong Kim, Je Rak Hong, Min Chul Kim, Han Sol Park, Seh Young Kim, Young Woo Seo, Sang Min Lee, Young Hoon Seo, Ki Ok Kim, Tae Hun Kim",Effects of Integrative Korean Medical Treatment for a Failed Epidural Steroid Injections to L-spine Disk Herniation: A Retrospective Case Series,The Acupuncture,2015,32,4,203,10.13045/acupunct.2015075
16,"Seoung Eun Jo, Hyun Lee, Seo Jin Hong, Jae Hui Kang",Two Cases of Pressure Ulcer Patients Treated with Acupuncture and Light Emitting Diode Light Therapy,2015,32,3,211,10.13045/acupunct.2015053,"Keun-jeong Yu, Un-jung Lee, Chul-yong Jang",A Case Study of a Stage Two Pressure Sore Treated with Sipjeondaebo-tang Extract,The Journal of Internal Korean Medicine,2016,37,5,770,10.22246/jikm.2016.37.5.770
17,"Dong Kyun Seo, So Yeon Shin, Shin Young Kim, Jong Cheol Seo, Yeon Ju Seo, Jong Hyeon Park, Hyun Min Yoon, Kyung Jeon Jang, Chun Ho Song, Cheol Hong Kim",Clinical Research of the Effects of () Pharmacopuncture on Insomnia and Depression in Patients with Sleep Disorder,2015,32,3,175,10.13045/acupunct.2015049,Yun-Jin Kim,Acupuncture Treatment of Depression in Epilepsy Children and Adolescent’s Parents,Korean Journal of Acupuncture,2016,33,2,84,10.14406/acu.2016.006
18,"Dong Kyun Seo, So Yeon Shin, Shin Young Kim, Jong Cheol Seo, Yeon Ju Seo, Jong Hyeon Park, Hyun Min Yoon, Kyung Jeon Jang, Chun Ho Song, Cheol Hong Kim",Clinical Research of the Effects of () Pharmacopuncture on Insomnia and Depression in Patients with Sleep Disorder,2015,32,3,175,10.13045/acupunct.2015049,Yun-Jin Kim,Acupuncture Treatment of Depression in Cancer Patient’s Home Caregivers,Korean Journal of Acupuncture,2016,33,3,131,10.14406/acu.2016.014
19,"So Yeon Shin, Dong Kyun Seo, Shin Young Kim, Jong Cheol Seo, Yeon Ju Seo, Yoon Joo Lee, Chang Hyun Bin, Taek Geun Jung, Chun Ho Song, Hyun Min Yoon, Cheol Hong Kim, Kyung Jeon Jang",The Effect of Pharmacopuncture for Women with Knee Osteoarthritis,2015,32,3,163,10.13045/acupunct.2015048,"Mu Seob Park, Se Jung Oh, Jung Hee Lee, Seung Ah Jun, Han Mi Gong, Seong Hun Choi, Min Hwangbo, Hyun Jong Lee, Jae Soo Kim",침치료로 호전되지 않은 퇴행성 슬관절염 환자의 도침치료 1례,The Acupuncture,2016,33,3,161,10.13045/acupunct.2016043
20,"Min Soo Kwon, Jung Hwan Kim, Dae Hyun Jo, Ji Eun Choi, Ji Sun Han, Seung Min Lee, Dong Woo Nam, Do Young Choi","A Retrospective Clinical Analysis of 1,485 Patients Who Visited the Emergency Room of Korean Medical Hospital with Musculoskeletal Disorders",2015,32,3,95,10.13045/acupunct.2015042,"Hee Young Kim, Yoo Ri Han, Han Byul Lee, Gi Young Yang, Han Chae",Systematic Review of Traditional Korean Emergency Medicine,The Acupuncture,2016,33,2,117,10.13045/acupunct.2016022
21,"Hae In Park, Hyun Jung Yang, Sang Kyun Park, Kwang Ho Lee",Needling Depth of (ST) with Computed Tomography: a Retrospective Study,2015,32,3,61,10.13045/acupunct.2015039,"Hyun Jung Yang, Ho Yun Sim, Kwang Ho Lee",A Retrospective Study on Needling Depth of Hwangmun (BL51) and Jisil (BL52) with MRI,The Acupuncture,2016,33,2,89,10.13045/acupunct.2016019
22,"Seok Hee Kim, Kyung Jin Lee, Yoo Min Choi, Ju Yong Kim, Tae Han Yook, Sang Lyoung Lee, Jong Uk Kim","A Study of Surface Electromyography Measurement of Wrist Exercise (Extension, Flexion, Grasping) in Healthy People",2015,32,3,53,10.13045/acupunct.2015038,"Ju Yong Kim, Bo Hyun Kim, Hye Bin Kim, Tae Han Yook, Jong Uk Kim",A Study of Surface Electromyography Measurement of Orbicularis oris motion in Healthy People※,The Acupuncture,2016,33,4,93,10.13045/acupunct.2016057
23,"Young Woo Seo, Han Sol Park, Min Chul Kim, Seh Young Kim, Young Hoon Seo, Sang Min Lee, Yoo Jong Kim, Je Rak Hong, Ji Soo Kim, Ki Ok Kim, Tae Hun Kim",Korean Medicinal Combination Treatments for Failed Back Surgery Syndrome: A Retrospective Case Series,2015,32,2,217,10.13045/acupunct.2015032,"Hae Sol Kim, Young Hyun Bae, Ho Sun Kim, Chang Yong Suh, No Hyeon Kim, Gi Bum Lee, Kyu Jin Yang",Effects of Conservative Korean Traditional Medical Treatment on Lumbar Intervertebral Disc Herniation in 12 Adolescents: A Retrospective Study,The Acupuncture,2016,33,1,103,10.13045/acupunct.2016010
24,"Woo Young Heo, Min Kyoung Hyun, Min Ju Mo, Han Ok Kim, Jae Hyeon Park, Ji Hoo Hwang",The Effect of Korean Medical Treatment on 4 Patients with Acute Traumatic Meniscal Tear,2015,32,2,197,10.13045/acupunct.2015030,"Jung Hee Lee, Mu Seob Park, Se Jung Oh, Yun Kyu Lee, Hyun Jong Lee, Jae Soo Kim",외상성으로 발생한 양측성 반월상 연골 파열 환자에 대한 도침치료로 호전된 치험 1례,The Acupuncture,2016,33,3,153,10.13045/acupunct.2016042
25,"Dong Il Yuk, Ju Hyun Jeon, Young Il Kim, Jung Ho Kim",The Effects of Acupuncture on Radial Pulse in Healthy Human Subjects: A Comparative Study of Liver Tonifying and Sedating,2015,32,2,169,10.13045/acupunct.2015028,"Yun Joo Kim, Jae Hui Kang, Kwang Sik Yoon, Seoung Eun Jo, Seo Jin Hong, Gee Won Yun, Seo Young Oh, Hyun Lee",담정격 및 담승격 자침이 정상 성인의 맥파변화에 미치는 영향,The Acupuncture,2016,33,3,45,10.13045/acupunct.2016034
26,"Kyu In Kwak, Jae Hui Kang, Hyun Lee",The Effects of Acupuncture on Radial Pulse in Healthy Human Subjects: A Comparative Study on Tonifications of Kidney and Urinary Bladder,2015,32,2,105,10.13045/acupunct.2015024,"Yun Joo Kim, Jae Hui Kang, Kwang Sik Yoon, Seoung Eun Jo, Seo Jin Hong, Gee Won Yun, Seo Young Oh, Hyun Lee",담정격 및 담승격 자침이 정상 성인의 맥파변화에 미치는 영향,The Acupuncture,2016,33,3,45,10.13045/acupunct.2016034
27,"Sang Min Kim, Sun Ho Lee, You Bin Shin, Ji Hoon Choi, Ja Sung Koo, Hyung Jin Yoo, Dong Hyun Lee",The Effect of Korean Medical Combination Treatment on 72 Cases of Herniated Intervertebral Lumbar Disc Patients: An Observational Study,2015,32,2,23,10.13045/acupunct.2015017,"Ji Su Kim, Yoo Jong Kim, Je Rak Hong, Min Chul Kim, Han Sol Park, Seh Young Kim, Young Woo Seo, Sang Min Lee, Young Hoon Seo, Ki Ok Kim, Tae Hun Kim",Effects of Integrative Korean Medical Treatment for a Failed Epidural Steroid Injections to L-spine Disk Herniation: A Retrospective Case Series,The Acupuncture,2015,32,4,203,10.13045/acupunct.2015075
28,"Sang Min Kim, Sun Ho Lee, You Bin Shin, Ji Hoon Choi, Ja Sung Koo, Hyung Jin Yoo, Dong Hyun Lee",The Effect of Korean Medical Combination Treatment on 72 Cases of Herniated Intervertebral Lumbar Disc Patients: An Observational Study,2015,32,2,23,10.13045/acupunct.2015017,"Ji Hoon Choi, Sun Ho Lee, Sang Min Kim, Hyun Joong Kim, Ja Sung Koo, Hyun Ho Lee, Seong Hyun Jung, Deok Won Youn",Effects of Korean Medical Combination Treatment for 102 Cases of Cervical Disc Herniation: An Observational Study,The Acupuncture,2016,33,2,11,10.13045/acupunct.2016013
29,"Jin Ho Lee, Min Jeong Kim, Jae Woong Lee, Me Riong Kim, In Hee Lee, Eun Jee Kim",A Study on Standardization of Pharmacopuncture Using Herbal Medicines Identification Test and HPLC-DAD,2015,32,2,1,10.13045/acupunct.2015015,"Yoon Jae Lee, Joon-Shik Shin, Jinho Lee, Me-riong Kim, Ki Byung Park, Hwa Dong Lee, Yoonmi Lee, Jungwan Hong, In-Hyuk Ha",Usage report of pharmacopuncture in musculoskeletal patients visiting Korean medicine hospitals and clinics in Korea,BMC Complementary and Alternative Medicine,2016,16,1,,10.1186/s12906-016-1288-5
30,"Sul Gi Kim, Sueng Hyuk Park, Ok Ju Park, Nam Geun Cho",A Case Report of Rhabdomyolysis Resulting from Shock Caused by Overworking,2015,32,1,127,10.13045/acupunct.2015012,"Ho-young Jeong, Seung-kyu Nam, Chung-sik Cho",One Case of Rhabdomyolysis After Spinning Exercise,The Journal of Internal Korean Medicine,2016,37,5,711,10.22246/jikm.2016.37.5.711
31,"Jae Hong Kim, Yeo Jin Jang, Ju Hyung Park, Young Nim You",The Effects of Korean Medical Treatment Combined with Acupotomy on Patients with a Herniated Intervertebral Disc of the Lumbar Spine: a Retrospective Study,2015,32,1,119,10.13045/acupunct.2015011,"Hye Su Kim, So Yun Kim, Hyun Ji Kim, Eun Seok Kim, Young Il Kim",The Effect of Acupotomy on Lumbar Herniated Intervertebral Disc: Report of a Case Series,The Acupuncture,2015,32,3,185,10.13045/acupunct.2015050
32,"Cho In Lee, Jae Soo Kim, Yun Kyu Lee, Seong Chul Lim, Tae Young Jung, Bong Hyo Lee, Hyun Jong Lee","A Correlation Analysis of Neck Pain, Neck Disability Index and Fear-avoidance Beliefs in Patients with Neck Pain Caused by Traffic Accidents",2015,32,1,109,10.13045/acupunct.2015010,"Yeon Ju Seo, Jong Cheol Seo, Shin Young Kim, Hyun Min Yoon, Sun Hee Jang, Chun Ho Song, Young Jun Lee, Sung Woo Cho, Seok Hwan Kang, Cheol Hong Kim",The Effect of Korean Medical Treatments with Functional Cerebrospinal Therapy on Patients from Traffic Accidents with Temporomandibular Joint Disorder,The Acupuncture,2016,33,4,149,10.13045/acupunct.2016062
33,"Min Jung Ji, Seong Chul Lim, Jae Soo Kim, Hyun Jong Lee, Yun Kyu Lee",Effects of Pharmaco-Acupuncture at ST on Monosodium Iodoacetate(MIA)-induced Osteoarthritic Rats,2015,32,1,53,10.13045/acupunct.2015005,"You Bin Shin, Hyun Jong Lee, Jae Soo Kim, Yun Kyu Lee",추출 방식의 차이에 따른 주목약침이 Formalin 유도 통증 모델의 진통에 미치는 영향,The Acupuncture,2016,33,3,17,10.13045/acupunct.2016032
34,"Kang Hyun Yoon, Seungmin Lee, Ji Seok Lim, Ye Eun Cho, Hwa Jin Lee, Ji Hye Kim, Jung Won Kang, Sang Hoon Lee",Experience of Bell’s Palsy Patients on Facial Exercise and Efficient Educational Program: a Qualitative Study,2015,32,1,67,10.13045/acupunct.2015006,"Seung-Hwan Lee, Woo-Yong Seong, Jung-Hwa Lim",Analysis on Reports of Qualitative Research Published in Domestic Korean Medicine Journals,Journal of Oriental Neuropsychiatry,2016,27,2,77,10.7231/jon.2016.27.2.077
35,"Kang Hyun Yoon, Seungmin Lee, Ji Seok Lim, Ye Eun Cho, Hwa Jin Lee, Ji Hye Kim, Jung Won Kang, Sang Hoon Lee",Experience of Bell’s Palsy Patients on Facial Exercise and Efficient Educational Program: a Qualitative Study,2015,32,1,67,10.13045/acupunct.2015006,"Seung Min Kathy Lee, Suji Lee, Jun Hyeong Park, Jongbae J. Park, Sanghoon Lee",A close look at an integrative treatment package for Bell's palsy in Korea,Complementary Therapies in Clinical Practice,2017,26,,76,10.1016/j.ctcp.2016.12.003
36,"Hyung Joon Jun, Sang Soo Nam, Young Suk Kim",Neuroprotection of Dopaminergic Neurons by Herbal Acupuncture in and Models of Parkinson’s Disease Induced by MPP+/MPTP Toxicity,2015,32,1,23,10.13045/acupunct.2015003,"Eun Hye Cha, Seong Jin Lee, Ji In Lee, In Ja Song, Sung Chul Kim",A case report on the use of processed extract and Korean medical treatment for a patient with Amyotrophic Lateral Sclerosis(ALS),The Acupuncture,2016,33,2,201,10.13045/acupunct.2016029
37,"Sun Hee Jang, Hyun Min Yoon, Bum Hoi Kim, Kyung Jeon Jang, Cheol Hong Kim",Effect of Pharmacopuncture on Chronic Liver Injury in Rats,2015,32,1,13,10.13045/acupunct.2015002,"Soo Ah Park, Heun Ju Lee, Ji-Yeong Baek, Kyung-Woo Son, Kyeong-Tae Lim",The Effects ofGanoderma LucidumPharmacopuncture and Moxibustion (Wang-tteum) on Abdominal Obesity: Case Report,Journal of Korean Medicine for Obesity Research,2016,16,1,64,10.15429/jkomor.2016.16.1.64
38,"Jung Hun Lee, Tae Joon Yang, Dong Geun Lee, Oook Jae Lee, Tung Shuen Wei",The Effect of Needle-embedding Therapy on Osteoarthritis of the Knee Combined with Korean Medical Treatment: Report of Five Cases,2014,31,4,195,10.13045/acupunct.2014066,"Mu Seob Park, Se Jung Oh, Jung Hee Lee, Seung Ah Jun, Han Mi Gong, Seong Hun Choi, Min Hwangbo, Hyun Jong Lee, Jae Soo Kim",침치료로 호전되지 않은 퇴행성 슬관절염 환자의 도침치료 1례,The Acupuncture,2016,33,3,161,10.13045/acupunct.2016043
39,"Min Jung Ji, Seong Chul Lim, Jae Soo Kim, Hyun Jong Lee, Yun Kyu Lee",The Comparative Study on Effect of Phamacopuncture and Electroacupuncture in Patients with Acute Traumatic Shoulder Pain,2014,31,4,205,10.13045/acupunct.2014067,"You Bin Shin, Hyun Jong Lee, Jae Soo Kim, Yun Kyu Lee",추출 방식의 차이에 따른 주목약침이 Formalin 유도 통증 모델의 진통에 미치는 영향,The Acupuncture,2016,33,3,17,10.13045/acupunct.2016032
40,"Bon Hyuk Goo, Hee Kyoung Ryu, Kyung Hwan Suk, Ju Hyeon Lee, Soo Hyeong Ryu, Su Yeon Lee, Min Jeong Kim, Yeon Cheol Park, Byung Kwan Seo, Dong Suk Park, Yong Hyeon Baek",Relation between Prognosis of Peripheral Facial Palsy and Blink Reflex: Retrospective Study,2014,31,4,121,10.13045/acupunct.2014059,"Hee Jin Sung, Su Sie Lim, Hyun Young Choi, Eun Yong Lee, Jung Du Roh, Cham Kyul Lee",Correlation of Internal & External Factors with the Beginning Period of Improvement in Idiopathic Facial Paralysis,The Acupuncture,2016,33,1,57,10.13045/acupunct.2016006
41,"Jin Ho Lee, Min Jeong Kim, Jae Woong Lee, Me Riong Kim, In Hee Lee, Eun Jee Kim","Comparison of the Ingredient Quantities, and Antioxidant and Anti-inflammatory Activities of Decoction Pharmacopuncture by Preparation Type",2014,31,4,45,10.13045/acupunct.2014053,"Yoon Jae Lee, Joon-Shik Shin, Jinho Lee, Me-riong Kim, Ki Byung Park, Hwa Dong Lee, Yoonmi Lee, Jungwan Hong, In-Hyuk Ha",Usage report of pharmacopuncture in musculoskeletal patients visiting Korean medicine hospitals and clinics in Korea,BMC Complementary and Alternative Medicine,2016,16,1,,10.1186/s12906-016-1288-5
42,"Hee Kyoung Ryu, Bon Hyuk Goo, Kyung Hwan Suk, Ju Hyeon Lee, Soo Hyeong Ryu, Su Yeon Lee, Min Jeong Kim, Yeon Cheol Park, Yong Hyeon Baek, Dong Suk Park, Byung Kwan Seo",The Current Research Methodology of Pharmacopucture for the Treatment of Animal Cancer Models in Korea,2014,31,4,81,10.13045/acupunct.2014056,"Kang Kwon, Nam-Kwen Kim, Sung-Young Kim, Dong-Jin Lee, Chul-Yun Kim, Hyung-Sik Seo",The Comparison Consideration on Experimental Articles about Melanoma Published in Journals of Korean Medicine,The Journal of Korean Medicine Ophthalmology and O,2015,28,3,30,10.6114/jkood.2015.28.3.030
43,"Jin Ho Lee, Min Jeong Kim, Jae Woong Lee, Me Riong Kim, In Hee Lee, Eun Jee Kim","Comparison of the Ingredient Quantities, and Antioxidant and Anti-inflammatory Activities of Decoction Pharmacopuncture by Preparation Type",2014,31,4,45,10.13045/acupunct.2014053,"Na-Ra Han, Phil-Dong Moon, Sun-Young Nam, Ka-Jung Ryu, Myoung-Schook Yoou, Jung-hye Choi, Sung-Yeoun Hwang, Hyung-Min Kim, Hyun-Ja Jeong",Inhibitory effects of atractylone on mast cell-mediated allergic reactions,Chemico-Biological Interactions,2016,258,,59,10.1016/j.cbi.2016.08.015
44,"Hee Kyoung Ryu, Bon Hyuk Goo, Kyung Hwan Suk, Ju Hyeon Lee, Soo Hyeong Ryu, Su Yeon Lee, Min Jeong Kim, Yeon Cheol Park, Yong Hyeon Baek, Dong Suk Park, Byung Kwan Seo",The Current Research Methodology of Pharmacopucture for the Treatment of Animal Cancer Models in Korea,2014,31,4,81,10.13045/acupunct.2014056,"Hee Jin Sung, Ho Sueb Song",Synergistic Effect of Natural Killer Cells and Bee Venom on Inhibition of NCI-H157 Cell Growth,The Acupuncture,2016,33,1,47,10.13045/acupunct.2016005
45,"Kyung Hwan Suk, Hee Kyoung Ryu, Bon Hyuk Goo, Ju Hyeon Lee, Soo Hyeong Ryu, Su Yeon Lee, Min Jeong Kim, Yeon Cheol Park, Byung Kwan Seo, Dong Suk Park, Yong Hyeon Baek",A Review Study and Proposal of Facial Palsy Sequelae Evaluating Scale,2014,31,4,99,10.13045/acupunct.2014057,"Seung Min Kathy Lee, Suji Lee, Jun Hyeong Park, Jongbae J. Park, Sanghoon Lee",A close look at an integrative treatment package for Bell's palsy in Korea,Complementary Therapies in Clinical Practice,2017,26,,76,10.1016/j.ctcp.2016.12.003
46,"Kyung Hwan Suk, Hee Kyoung Ryu, Bon Hyuk Goo, Ju Hyeon Lee, Soo Hyeong Ryu, Su Yeon Lee, Min Jeong Kim, Yeon Cheol Park, Byung Kwan Seo, Dong Suk Park, Yong Hyeon Baek",A Review Study and Proposal of Facial Palsy Sequelae Evaluating Scale,2014,31,4,99,10.13045/acupunct.2014057,"Soo Hyeong Ryu, Su Yeon Lee, Hong Guk Kim, Dek Woo Ryoo, Sung Jin Kim, Seong Mok Jeong, Seung Won Baek, Bon Hyuk Goo, Min Jeong Kim, Yeon Cheol Park, Byung Kwan Seo, Sang Soo Nam, Yong Hyeon Baek",안면계측검사를 통한 안면마비후유증 객관적 평가도구 개발을 위한 기초 연구,The Acupuncture,2016,33,3,89,10.13045/acupunct.2016037
47,"Kyung Hwan Suk, Hee Kyoung Ryu, Bon Hyuk Goo, Ju Hyeon Lee, Soo Hyeong Ryu, Su Yeon Lee, Min Jeong Kim, Yeon Cheol Park, Byung Kwan Seo, Dong Suk Park, Yong Hyeon Baek",A Review Study and Proposal of Facial Palsy Sequelae Evaluating Scale,2014,31,4,99,10.13045/acupunct.2014057,"Ji Sun Han, Min Soo Kwon, Jung Hwan Kim, Dae Hyun Jo, Hee Jin Jo, Ji Eun Choi, Ji Hye Kim, Hyun Ho Kim, Sang Hoon Lee, Young Jae Park, Young Bae Park",The Application State of the Sunnybrook Facial Grading System for Facial Palsy Patients : A retrospective study,The Acupuncture,2016,33,4,101,10.13045/acupunct.2016058
48,"Jong Hwan Lee, Jae Yun Jun, Su Jin Lim, Hae Sol Kim, Ho Sun Kim, Young Hyeon Bae, In Hee Lee, Min Jeong Kim, Eun Jee Kim, In Hyuk Ha, Jin Ho Lee, Jae Woong Lee",The Effects of Sterilization on Decoction( Decoction) Pharmacopuncture: an Investigation to Minimize Loss of Principal Components,2014,31,4,29,10.13045/acupunct.2014051,"Tae Ho Kim, Seong Hyun Jeong, Tae kyung Yoon, So Jin Lee, Soo Ji Shin, Ok Jun Kwon, Yeong Guk Joo, Jong Cheol Lee, Jae Young Park","A Comparison of the Effect of Pharmacopuncture and Decoction Pharmacopuncture Treatments in Patients with Low Back Pain Caused by Traffic Accidents: A Retrospective, Case Series Observational Study",The Acupuncture,2015,32,4,157,10.13045/acupunct.2015070
